time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
10.896273,-0.302961206,-0.361252476,0.16451944,1.708087607,-1.434655532,0.280334989,0.687990383,100,-0.59403406,-0.43833501,-0.170271867,2.243830397,-0.266529162,0.382728207,0.451757342,100
10.906277,-0.304111691,-0.361635971,0.164902935,1.707704112,-1.434272037,0.280334989,0.687990383,100,-0.595184546,-0.432966077,-0.169504877,2.239995446,-0.267296152,0.378893255,0.452524332,100
10.916274,-0.303728196,-0.361635971,0.16528643,1.708087607,-1.434272037,0.280718484,0.688373879,100,-0.596335031,-0.427597145,-0.168737887,2.237310979,-0.266529162,0.375441798,0.452140837,100
10.926272,-0.303344701,-0.36086898,0.164135944,1.707704112,-1.434655532,0.279951494,0.687606888,100,-0.597485517,-0.422228212,-0.169504877,2.235393503,-0.266529162,0.370839855,0.453291323,100
10.936274,-0.30257771,-0.361635971,0.16528643,1.707320617,-1.434655532,0.280334989,0.687990383,100,-0.597869012,-0.416859279,-0.169504877,2.231558551,-0.267296152,0.367388399,0.452140837,100
10.94628,-0.302961206,-0.360485485,0.164902935,1.707320617,-1.433505046,0.279951494,0.687990383,100,-0.599402993,-0.411873842,-0.169504877,2.228874085,-0.267296152,0.363936942,0.452140837,100
10.956274,-0.303728196,-0.36086898,0.16451944,1.707704112,-1.434655532,0.279951494,0.687990383,100,-0.600553478,-0.406888404,-0.169121382,2.226189618,-0.267296152,0.36010199,0.452140837,100
10.966271,-0.302961206,-0.362402961,0.164135944,1.707704112,-1.434272037,0.279951494,0.687606888,100,-0.601320469,-0.401902966,-0.169121382,2.223888647,-0.267296152,0.357034028,0.451757342,100
10.976271,-0.303728196,-0.361635971,0.164135944,1.707320617,-1.434655532,0.280334989,0.687606888,100,-0.601320469,-0.396150538,-0.169888372,2.22043719,-0.267679647,0.353199076,0.452140837,100
10.986271,-0.303344701,-0.36086898,0.164135944,1.707704112,-1.434272037,0.280718484,0.687606888,100,-0.60285445,-0.391165101,-0.169504877,2.218136219,-0.266912657,0.350131115,0.451757342,100
10.996269,-0.303344701,-0.361635971,0.16451944,1.707320617,-1.434655532,0.280334989,0.687606888,100,-0.603237945,-0.385412673,-0.169504877,2.214684763,-0.267679647,0.346296163,0.451757342,100
11.006269,-0.30257771,-0.36086898,0.16451944,1.707320617,-1.433888541,0.279567999,0.688373879,100,-0.604004935,-0.38004374,-0.169504877,2.211616801,-0.267296152,0.343228201,0.450990352,100
11.016269,-0.304111691,-0.36086898,0.163752449,1.708087607,-1.434272037,0.280334989,0.687990383,100,-0.605155421,-0.375825293,-0.169504877,2.20931583,-0.267679647,0.34016024,0.450223361,100
11.026269,-0.303728196,-0.36086898,0.16451944,1.707704112,-1.434655532,0.280334989,0.688373879,100,-0.606305906,-0.37045636,-0.169121382,2.205480878,-0.267679647,0.337859269,0.449839866,100
11.036269,-0.30257771,-0.361635971,0.164135944,1.707704112,-1.434272037,0.279951494,0.687990383,100,-0.607072897,-0.365854418,-0.169504877,2.202796411,-0.267679647,0.335174802,0.449072876,100
11.046271,-0.303344701,-0.362019466,0.164902935,1.708471103,-1.433888541,0.279951494,0.687990383,100,-0.607456392,-0.36086898,-0.168737887,2.199344955,-0.268063143,0.332490336,0.449072876,100
11.056269,-0.30257771,-0.361252476,0.16451944,1.707704112,-1.434272037,0.280334989,0.688373879,100,-0.608990373,-0.355500048,-0.168354391,2.197810974,-0.267679647,0.328655384,0.449072876,100
11.066273,-0.303728196,-0.361252476,0.16451944,1.707320617,-1.433888541,0.280334989,0.687606888,100,-0.609757363,-0.3512816,-0.168737887,2.195510003,-0.268446638,0.322902956,0.44868938,100
11.076271,-0.303728196,-0.361252476,0.164902935,1.707320617,-1.435039027,0.280718484,0.688373879,100,-0.610524354,-0.346679658,-0.168737887,2.193976022,-0.267679647,0.316000042,0.44868938,100
11.086269,-0.303344701,-0.36086898,0.164902935,1.708087607,-1.433888541,0.279951494,0.687606888,100,-0.612058334,-0.34092723,-0.168354391,2.192825536,-0.268063143,0.310247614,0.44868938,100
11.096275,-0.303344701,-0.361252476,0.164902935,1.708087607,-1.434655532,0.280334989,0.687990383,100,-0.612058334,-0.336325288,-0.168737887,2.190524565,-0.267296152,0.305645672,0.448305885,100
11.106272,-0.303728196,-0.362402961,0.164902935,1.707320617,-1.435039027,0.279567999,0.688373879,100,-0.613592315,-0.332106841,-0.168737887,2.187840099,-0.267679647,0.304111691,0.44868938,100
11.11627,-0.304111691,-0.360485485,0.16451944,1.708087607,-1.434655532,0.279567999,0.687990383,100,-0.613592315,-0.327888393,-0.168354391,2.185922623,-0.267679647,0.302194215,0.448305885,100
11.126273,-0.303344701,-0.361635971,0.164135944,1.707704112,-1.433888541,0.279184503,0.687990383,100,-0.615509791,-0.324053441,-0.167970896,2.183621652,-0.267296152,0.298359263,0.448305885,100
11.13627,-0.303728196,-0.360485485,0.164902935,1.707704112,-1.434272037,0.279567999,0.687990383,100,-0.615893286,-0.319834994,-0.167970896,2.181704176,-0.268830133,0.294907806,0.448305885,100
11.146273,-0.302961206,-0.361635971,0.164135944,1.707704112,-1.434272037,0.279951494,0.687990383,100,-0.615893286,-0.315616547,-0.167970896,2.180170195,-0.268446638,0.29145635,0.44792239,100
11.156272,-0.302961206,-0.362019466,0.164902935,1.707704112,-1.435039027,0.280334989,0.688373879,100,-0.617427267,-0.3113981,-0.168354391,2.177485728,-0.268063143,0.287621398,0.448305885,100
11.166269,-0.303728196,-0.361252476,0.16451944,1.707320617,-1.433888541,0.280334989,0.687606888,100,-0.617810762,-0.307563148,-0.166820411,2.176335243,-0.267679647,0.284553436,0.4471554,100
11.176272,-0.30257771,-0.361252476,0.164135944,1.708471103,-1.435422522,0.279567999,0.687223393,100,-0.618577753,-0.303728196,-0.167970896,2.174034272,-0.267679647,0.28186897,0.447538895,100
11.186267,-0.303728196,-0.361252476,0.164902935,1.706937122,-1.434655532,0.280718484,0.687990383,100,-0.619344743,-0.299893244,-0.167203906,2.172883786,-0.268063143,0.278801008,0.44792239,100
11.19627,-0.303344701,-0.36086898,0.164902935,1.707704112,-1.434655532,0.280334989,0.687606888,100,-0.619728238,-0.296441787,-0.166820411,2.17096631,-0.268063143,0.275733047,0.44792239,100
11.206269,-0.303728196,-0.361252476,0.164135944,1.707320617,-1.433888541,0.280334989,0.688373879,100,-0.619344743,-0.293373826,-0.168354391,2.169048834,-0.267296152,0.27304858,0.4471554,100
11.216271,-0.304495186,-0.361252476,0.16451944,1.707704112,-1.433888541,0.280334989,0.687990383,100,-0.620495229,-0.289538874,-0.167587401,2.167514853,-0.267296152,0.269597123,0.447538895,100
11.22627,-0.303728196,-0.360485485,0.164135944,1.707320617,-1.434272037,0.279567999,0.688373879,100,-0.620878724,-0.286087417,-0.167203906,2.165980872,-0.268063143,0.266529162,0.44792239,100
11.236273,-0.303728196,-0.36086898,0.164135944,1.707704112,-1.434655532,0.280334989,0.688373879,100,-0.622029209,-0.283019455,-0.167970896,2.164830387,-0.267679647,0.264611686,0.44792239,100
11.246307,-0.302961206,-0.36086898,0.164902935,1.706937122,-1.434272037,0.279951494,0.687606888,100,-0.620878724,-0.279951494,-0.166436915,2.162912911,-0.268063143,0.261543724,0.4471554,100
11.25628,-0.303344701,-0.36086898,0.164902935,1.707704112,-1.434272037,0.279184503,0.687606888,100,-0.621645714,-0.277267027,-0.166820411,2.162145921,-0.267679647,0.259242753,0.4471554,100
11.266285,-0.30257771,-0.362019466,0.164902935,1.707320617,-1.434655532,0.279567999,0.688373879,100,-0.6227962,-0.274199066,-0.167587401,2.160995435,-0.267679647,0.256174792,0.4471554,100
11.276274,-0.302961206,-0.36086898,0.16528643,1.708087607,-1.435039027,0.279567999,0.687606888,100,-0.62356319,-0.271898095,-0.166820411,2.159461454,-0.267679647,0.254640811,0.447538895,100
11.286272,-0.303728196,-0.361252476,0.16451944,1.707704112,-1.434272037,0.279951494,0.687990383,100,-0.62356319,-0.269213628,-0.166820411,2.158694464,-0.267679647,0.251572849,0.44792239,100
11.296274,-0.30257771,-0.361252476,0.16451944,1.708087607,-1.434272037,0.279951494,0.688373879,100,-0.624330181,-0.266529162,-0.166820411,2.157543978,-0.266912657,0.248888383,0.447538895,100
11.306278,-0.304111691,-0.361252476,0.164902935,1.707704112,-1.434655532,0.279951494,0.689140869,100,-0.624713676,-0.2634612,-0.166436915,2.156009997,-0.268446638,0.246203916,0.4471554,100
11.31642,-0.302961206,-0.361252476,0.164902935,1.706937122,-1.433888541,0.279951494,0.687223393,100,-0.624713676,-0.261543724,-0.166436915,2.155243007,-0.268446638,0.243135955,0.447538895,100
11.326281,-0.303344701,-0.36086898,0.16451944,1.707320617,-1.434655532,0.280334989,0.688373879,100,-0.625097171,-0.260009744,-0.166436915,2.154476017,-0.268063143,0.241601974,0.44792239,100
11.336277,-0.302961206,-0.36086898,0.164902935,1.707320617,-1.433505046,0.279567999,0.688373879,100,-0.625480666,-0.257325277,-0.166436915,2.154092521,-0.268446638,0.240451489,0.447538895,100
11.346643,-0.303728196,-0.361635971,0.164135944,1.707320617,-1.434272037,0.279951494,0.687606888,100,-0.625480666,-0.255791296,-0.16605342,2.153325531,-0.268063143,0.237383527,0.44792239,100
11.356281,-0.303728196,-0.361635971,0.164135944,1.707320617,-1.434272037,0.279951494,0.687606888,100,-0.625480666,-0.253490325,-0.16605342,2.152558541,-0.267296152,0.236233041,0.447538895,100
11.366275,-0.30257771,-0.361635971,0.164135944,1.707320617,-1.434272037,0.279567999,0.687223393,100,-0.627014647,-0.251956344,-0.167203906,2.152175045,-0.267679647,0.234315565,0.447538895,100
11.376665,-0.303344701,-0.362019466,0.164135944,1.707704112,-1.434655532,0.280334989,0.687223393,100,-0.627014647,-0.250422364,-0.16605342,2.15179155,-0.267679647,0.232398089,0.448305885,100
11.386274,-0.303344701,-0.362019466,0.164902935,1.707320617,-1.434272037,0.280334989,0.688373879,100,-0.627014647,-0.248888383,-0.16605342,2.15102456,-0.268063143,0.231631099,0.4471554,100
11.396271,-0.303344701,-0.36086898,0.16451944,1.707704112,-1.434272037,0.280334989,0.687990383,100,-0.627398142,-0.247354402,-0.16605342,2.150641065,-0.267679647,0.229330128,0.448305885,100
11.40629,-0.303728196,-0.36086898,0.164902935,1.707320617,-1.433888541,0.280334989,0.688373879,100,-0.626247657,-0.246203916,-0.16605342,2.149874074,-0.267679647,0.228563137,0.4471554,100
11.416286,-0.303344701,-0.361252476,0.164135944,1.707320617,-1.433888541,0.280334989,0.687990383,100,-0.627781637,-0.246203916,-0.166436915,2.149874074,-0.267296152,0.227412652,0.44792239,100
11.426276,-0.303344701,-0.361635971,0.164135944,1.707320617,-1.433888541,0.280334989,0.688373879,100,-0.627014647,-0.244669936,-0.16528643,2.149874074,-0.267679647,0.225878671,0.44792239,100
11.436278,-0.304111691,-0.361252476,0.164135944,1.707704112,-1.433888541,0.280334989,0.687990383,100,-0.627398142,-0.24351945,-0.16605342,2.148723589,-0.268063143,0.225111681,0.447538895,100
11.446321,-0.304111691,-0.361635971,0.164902935,1.707704112,-1.434272037,0.279184503,0.687606888,100,-0.627781637,-0.243902945,-0.164902935,2.148723589,-0.267679647,0.223961195,0.447538895,100
11.456278,-0.303344701,-0.36086898,0.164902935,1.707704112,-1.434272037,0.279567999,0.687990383,100,-0.628165133,-0.243135955,-0.164902935,2.148723589,-0.267679647,0.223961195,0.44792239,100
11.466273,-0.302961206,-0.361252476,0.16451944,1.707704112,-1.434272037,0.280334989,0.687990383,100,-0.627781637,-0.242368964,-0.164902935,2.148340093,-0.267679647,0.223194205,0.44792239,100
11.47627,-0.303728196,-0.361252476,0.164902935,1.707320617,-1.434272037,0.280334989,0.687990383,100,-0.627398142,-0.242368964,-0.16528643,2.148723589,-0.268063143,0.223194205,0.448305885,100
11.486271,-0.302961206,-0.36086898,0.16451944,1.707320617,-1.434655532,0.279951494,0.687990383,100,-0.627014647,-0.241601974,-0.165669925,2.147573103,-0.266912657,0.2235777,0.44792239,100
11.496275,-0.302961206,-0.36086898,0.16451944,1.707320617,-1.434655532,0.279951494,0.687223393,100,-0.627781637,-0.241601974,-0.165669925,2.148340093,-0.268063143,0.2235777,0.44792239,100
11.50627,-0.303344701,-0.36086898,0.16528643,1.707320617,-1.434272037,0.279951494,0.687990383,100,-0.627398142,-0.241218479,-0.164902935,2.148723589,-0.267296152,0.2235777,0.447538895,100
11.516269,-0.302961206,-0.360485485,0.16451944,1.707320617,-1.434272037,0.279951494,0.687990383,100,-0.627781637,-0.241985469,-0.16528643,2.149874074,-0.268063143,0.2235777,0.4471554,100
11.526274,-0.302961206,-0.36086898,0.164902935,1.707320617,-1.433888541,0.280334989,0.687990383,100,-0.627781637,-0.24275246,-0.164902935,2.148723589,-0.267679647,0.22434469,0.44792239,100
11.536272,-0.302961206,-0.361635971,0.164902935,1.707320617,-1.434272037,0.279567999,0.687223393,100,-0.628165133,-0.24275246,-0.16528643,2.148340093,-0.268063143,0.22434469,0.44792239,100
11.546279,-0.302961206,-0.36086898,0.16528643,1.708087607,-1.433888541,0.279951494,0.688373879,100,-0.627398142,-0.243135955,-0.16528643,2.148723589,-0.268063143,0.226645661,0.447538895,100
11.556276,-0.303344701,-0.361252476,0.164902935,1.707320617,-1.433888541,0.280334989,0.687606888,100,-0.627398142,-0.24351945,-0.16451944,2.149874074,-0.268446638,0.227796147,0.448305885,100
11.566276,-0.303344701,-0.361252476,0.164902935,1.707704112,-1.433888541,0.280334989,0.687606888,100,-0.628165133,-0.24428644,-0.16451944,2.149107084,-0.268446638,0.228946633,0.447538895,100
11.576276,-0.302961206,-0.361252476,0.16451944,1.707320617,-1.434272037,0.280334989,0.687606888,100,-0.627014647,-0.244669936,-0.164902935,2.149107084,-0.269213628,0.230480613,0.447538895,100
11.586274,-0.303728196,-0.361635971,0.16451944,1.707320617,-1.434272037,0.280334989,0.688373879,100,-0.627781637,-0.245436926,-0.164902935,2.149874074,-0.269213628,0.232398089,0.4471554,100
11.59627,-0.303728196,-0.361635971,0.164902935,1.706937122,-1.434272037,0.280334989,0.687223393,100,-0.627781637,-0.246203916,-0.164902935,2.150257569,-0.269213628,0.234315565,0.446388409,100
11.60627,-0.304495186,-0.362019466,0.16451944,1.706937122,-1.434272037,0.279951494,0.687606888,100,-0.628548628,-0.246970907,-0.16451944,2.150257569,-0.269213628,0.235466051,0.446771904,100
11.616271,-0.303728196,-0.362019466,0.16451944,1.708087607,-1.434272037,0.280718484,0.688373879,100,-0.628165133,-0.248888383,-0.164902935,2.15102456,-0.269213628,0.236616537,0.446771904,100
11.626269,-0.303344701,-0.361252476,0.16451944,1.708087607,-1.434655532,0.279567999,0.687990383,100,-0.628165133,-0.249271878,-0.16451944,2.15179155,-0.269597123,0.237383527,0.447538895,100
11.636269,-0.303344701,-0.361252476,0.164902935,1.707320617,-1.435039027,0.280334989,0.688373879,100,-0.627781637,-0.251572849,-0.164135944,2.152558541,-0.269980619,0.238150517,0.446771904,100
11.646268,-0.302961206,-0.360485485,0.164135944,1.707320617,-1.434272037,0.279951494,0.688373879,100,-0.627398142,-0.25310683,-0.164135944,2.152558541,-0.269597123,0.238917508,0.446771904,100
